横坐标(米),纵坐标(米),角度代价,GDOP(米每弧度),第二次检测耗时(秒),条件接收采样覆盖率,1000米采样覆盖率,离散源采样最坏一阶误差(米),统计位置RMS(米),是否折中点
960.4910309330065,-214.14242806424437,0.8013295757306866,2764.3111255598365,201.81463360228068,1.0,1.0,62.7862714424958,27.85503201158893,0
969.5541088033731,-209.91624544683737,0.8050205406304248,2735.5283871409692,203.40362899906845,1.0,1.0,62.015322214637905,27.5649980524497,0
978.6171866737395,-205.69006282943036,0.8086224499311282,2707.066401323713,204.99999999999997,1.0,1.0,61.25202346611754,27.27819620922646,0
657.1832785935052,-344.54337656830876,0.8725831200570662,3933.7178235302313,153.40485167271316,1.0,0.8292682926829268,93.44459565336312,39.63874937442192,0
666.2463564638717,-340.3171939509017,0.8706221021246477,3893.7943881746965,154.62620091414473,1.0,0.835075493612079,92.4142206436155,39.236454365166836,0
675.3094343342382,-336.09101133349475,0.8686174702598367,3854.193122356791,155.8641773251689,1.0,0.8432055749128919,91.3910391478148,38.837405749814685,0
684.3725122046046,-331.86482871608774,0.8665680146308429,3814.913685953818,157.11837495845137,1.0,0.8501742160278746,90.3750610824363,38.44160010106362,0
693.4355900749712,-327.63864609868074,0.8644724872177056,3775.9557547549125,158.3883959105121,1.0,0.8548199767711963,89.36629674997852,38.04903415194998,0
702.4986679453377,-323.4124634812738,0.8623296005654564,3737.319021263211,159.67385040788247,1.0,0.8617886178861789,88.3647568482187,37.659704803931454,0
784.0663687786362,-285.3768199246108,0.8406787957728208,3404.0009769724443,171.87720036002523,1.0,0.9210220673635308,79.67797025780645,34.3009711549182,0
793.1294466490026,-281.15063730720385,0.8379818702802285,3368.563620331191,173.2973558912914,1.0,0.926829268292683,78.74935690467998,33.94388084966239,0
802.1925245193692,-276.92445468979685,0.8352204297776669,3333.4454425520803,174.729196074217,1.0,0.9337979094076655,77.8281145313184,33.59000680228008,0
811.2556023897356,-272.69827207238984,0.8323926039313616,3298.681501759584,176.1724276862369,1.0,0.9407665505226481,76.91425934827711,33.239702281681716,0
820.3186802601022,-268.47208945498284,0.8294964637404607,3264.5548105639346,177.6267650163207,1.0,0.9465737514518002,76.00780809228053,32.895819110603455,0
829.3817581304686,-264.24590683757583,0.826530019862902,3230.7116773652688,179.0919297382851,1.0,0.9535423925667829,75.10877803660672,32.554793257939934,0
838.4448360008352,-260.0197242201688,0.8234912209247977,3197.152607592959,180.56765077883796,1.0,0.9605110336817654,74.21718700140764,32.21662981673268,0
